No;Latitude;longitude;Lokasi;Tanggal;aD;aL;DAz;Lag;w;lluminasi (%);Suhu_Atmosfer_C;Kelembapan_Pct;Kecepatan_Angin_ms;Kondisi_Awan_Pct;Transparansi_Index;Visibility
44;-7.719969444;109.3897111;Logending ;05/05/2019;6.507;7.372;1.456;26.979;0.1287;0.415;30.45;61.4348695;0.99;38.27367194;0.68;3
45;-6.988997222;106.5523639;Pelabuhan Ratu ;05/05/2019;6.58;7.452;1.507;27.246;0.1315;0.424;28.78;76.99041412;1.24;33.45036027;0.52;1
46;-7.16975;112.6174694;Ponorogo ;03/07/2019;7.752;8.547;0.543;34.437;0.1826;0.557;30.92;77.01607066;4.46;38.52738166;0.46;3
47;-8.173258333;113.7005389;Jember ;03/07/2019;7.672;8.49;0.697;34.236;0.1802;0.55;26.95;77.99158314;2.27;68.79822874;0.46;1
48;-7.16975;112.6174694;Condrodipo ;01/08/2019;3.745;4.859;1.64;15.964;0.0599;0.18;32.25;74.69750773;4.07;39.04191188;0.71;1
49;-6.732105556;108.5522139;Watukosek  ;01/08/2019;3.725;5.011;1.593;16.733;0.0638;0.192;28.5;78.35110472;4.45;36.78438841;0.69;1
50;-6.866597222;112.3577417;Tanjung Kodok ;01/08/2019;3.768;4.872;1.614;16.054;0.0603;0.181;32.25;71.85505328;4.07;66.7840489;0.71;1
51;-7.574086111;112.2860889;Jombang;01/08/2019;3.744;4.866;1.674;15.962;0.0601;0.181;33.12;77.68891448;3;39.36947915;0.71;1
52;-6.77235;110.8785833;Kudus;01/08/2019;3.829;4.927;1.602;16.324;0.0616;0.185;33.39;79.50672094;2.99;45.59000429;0.72;1
53;-7.16975;112.6174694;Balai Rukyat Ibnu Syatir;29/09/2019;9.699;10.716;2.225;39.754;0.2921;0.875;33.46;63.47257692;3.76;50.15738954;0.75;3
54;-7.669622222;112.8328917;Sidogiri;29/09/2019;9.660;10.709;2.319;39.691;0.2917;0.874;30.81;66.50879494;3.86;61.76880822;0.75;1
55;-6.5805;110.6789528;Jepara;29/09/2019;9.780;10.782;2.095;40.093;0.2957;0.886;30.88;74.97826813;3.53;49.04529668;0.7;1
56;-6.863777778;112.3603972;Lamongan ;29/09/2019;9.697;10.724;2.166;39.812;0.2925;0.877;33.46;62.1518799;3.76;36.58511357;0.72;1
57;-7.574086111;112.2860889;Jombang ;28/10/2019;3.941;5.93;3.597;15.856;0.0882;0.269;35.72;69.23410023;1.34;54.18030888;0.69;1
58;-7.16975;112.6174694;Condrodipo ;23/04/2020;4.425;5.481;1.971;17.646;0.068;0.229;30.51;70.49560198;4.22;39.09861655;0.63;1
59;-7.646919444;112.8999222;Pasuruan ;23/04/2020;4.432;5.473;1.933;17.691;0.0678;0.229;29.59;77.87393755;3.33;34.37332866;0.63;2
60;-7.152477778;111.8869306;Bojonegoro ;23/04/2020;4.447;5.495;1.961;17.726;0.0684;0.231;30.23;68.06296364;3.58;30.90727348;0.68;1
61;-8.173258333;113.7005389;Jember ;21/07/2020;8.432;9.617;2.719;37.53;0.2258;0.706;25.7;62.46488473;3.52;55.9973739;0.71;1
62;-7.16975;112.6174694;Condrodipo ;21/07/2020;8.529;9.668;2.545;37.863;0.2282;0.713;30.99;71.94314642;4.44;69.86686822;0.67;1
63;-6.866597222;112.3577417;Tanjung Kodok ;21/07/2020;8.557;9.681;2.492;37.952;0.2288;0.715;31.59;73.27698475;4.25;63.71724697;0.72;1
64;-7.16975;112.6174694;Joresan  ;21/07/2020;8.519;9.668;2.545;37.863;0.2282;0.713;30.99;72.98086051;4.44;51.86298416;0.67;3
65;-6.894911111;112.041675;Tuban ;21/07/2020;8.568;9.692;2.497;37.998;0.2294;0.717;30.84;70.03798038;3.29;47.19930273;0.72;1
66;-7.15425;113.4739111;Pamekasan ;21/07/2020;8.496;9.638;2.543;37.727;0.2268;0.709;28.62;60.37779444;5.3;54.47938887;0.7;3
67;-0.876188889;131.25575;Subang ;21/07/2020;8.765;9.104;1.507;35.842;0.2023;0.632;25.85;61.64317213;3.05;66.95135162;0.64;3
68;-7.574086111;112.2860889;Jombang ;19/08/2020;4.510;6.365;3.487;18.925;0.1011;0.309;32.34;70.53210628;3.39;47.91666667;0.66;2
69;-7.574086111;112.2860889;Jombang ;17/10/2020;8.746;9.68;1.616;36.281;0.24;0.715;33.5;78.47284475;3.01;30.69135841;0.4;2
70;-7.16975;112.6174694;Joresan Ponorogo ;17/10/2020;8.764;9.666;1.552;36.228;0.2393;0.713;31.9;78.86017396;3.49;39.31489263;0.4;3
71;-7.16975;112.6174694;Condrodipo ;17/10/2020;8.739;9.666;1.552;36.228;0.2393;0.713;31.9;72.78731281;3.49;55.88995249;0.4;1
72;-2.591630556;140.6687389;Jayapura ;15/12/2020;8.476;9.352;1.082;38.107;0.2181;0.667;28.21;62.42849011;2.67;62.28461617;0.6;3
73;-6.988997222;106.5523639;Pelabuhan Ratu ;15/02/2021;8.755;43.188;17.955;161.346;4.1135;13.6;27.88;65.98899862;3.62;63.12383977;0.4;3
74;-6.148058333;106.8997556;Jakarta ;15/02/2021;8.730;43.171;17.267;162.087;4.1107;13.59;27.38;74.69864606;4.51;66.59879043;0.4;1
75;-7.16975;112.6174694;Condrodipo ;12/04/2021;4.279;5.174;1.423;16.882;0.0606;0.204;29.62;79.54184995;0.25;64.72593525;0.59;1
76;-8.173258333;113.7005389;Jember ;12/04/2021;4.279;5.149;1.356;16.888;0.06;0.203;27.2;67.40132942;0.84;47.04858465;0.64;1
77;-6.866597222;112.3577417;Tanjung Kodok ;12/04/2021;4.279;5.181;1.445;16.872;0.0607;0.205;29.93;68.91904628;0.72;64.01845329;0.68;1
78;-0.058397222;109.3440611;Pontianak ;12/04/2021;4.186;5.264;1.978;16.372;0.0627;0.212;28.6;73.78457351;0.43;53.89621612;0.62;1
79;-7.574086111;112.2860889;Jombang ;10/07/2021;3.640;5.622;3.483;16.117;0.0729;0.241;30.08;60.9341277;4.29;68.09006781;0.73;1
80;-7.16975;112.6174694;Condrodipo ;10/07/2021;3.657;5.618;3.449;16.195;0.0728;0.241;30.99;61.93586358;6.27;61.54242094;0.73;2
81;-6.866597222;112.3577417;Tanjung Kodok ;10/07/2021;3.688;5.628;3.425;16.328;0.0731;0.242;30.99;62.41199265;6.27;63.65177317;0.69;1
82;-6.988997222;106.5523639;Pelabuhan Ratu;12/02/2021;8.61;9.47;0.75;36.55;0.17;0.56;27.52;70.16858936;3.97;53.68443863;0.42;2
83;-6.140566667;106.8665167;Tanjungpriuk;12/02/2021;8.58;9.45;0.90;36.38;0.17;0.55;27.39;76.11315949;4.25;41.49074485;0.42;1
84;-6.308333333;119.6927778;Makassar;12/02/2021;8.20;9.08;1.04;34.76;0.16;0.51;24.14088139;82.37762311;6.285616501;88.85580814;0.64;0
85;-6.286977778;120.5048806;Selayar, SulawesiSelatan;12/02/2021;8.18;9.06;1.06;34.65;0.16;0.51;27.9;76.39032485;4.82;48.61110791;0.62;0
86;-8.576994444;116.1048889;Mataram;12/02/2021;8.36;9.20;0.61;35.58;0.16;0.52;22.07059563;91.61943287;3.129581214;93.98003913;0.62;0
87;-1.238144444;116.8528306;Balikpapan;12/02/2021;8.12;9.13;1.85;34.31;0.16;0.52;25.06732451;84.80546102;1.888464402;85.18433765;0.46;0
88;-7.914444444;113.8230556;Bondowoso;12/02/2021;8.41;9.26;0.69;35.76;0.16;0.53;19.57010211;92.03032368;4.136780566;98.68376801;0.58;0
89;-8.204722222;112.1583333;Blitar;12/02/2021;8.47;9.31;0.62;36.02;0.17;0.54;24.95967479;80.03945617;3.880916812;85.43608885;0.5;0
90;-7.16975;112.6174694;Balai Rukyat NU Condrodipo;12/02/2021;8.43;9.29;0.80;35.80;0.16;0.53;25.58315921;86.22178395;5.049216698;88.41013038;0.49;0
91;-6.863777778;112.3603972;Lamongan;12/02/2021;8.43;9.30;0.85;35.79;0.17;0.54;28.15;70.70572689;3.98;43.05157747;0.5;0
92;-6.988611111;110.4107833;Kota Semarang;12/02/2021;8.50;9.35;0.80;36.05;0.17;0.54;25.39095539;84.49269609;3.981086795;88.51790606;0.59;0
93;-6.836422222;108.227425;Majalengka;12/02/2021;8.56;9.42;0.80;36.31;0.17;0.55;21.36840892;90.83308341;3.918620599;96.13732858;0.48;0
94;-3.0175;120.1981528;Palopo,SulawesiSelatan;13/03/2021;1.53;4.95;4.48;4.92;0.05;0.16;23.65031517;83.83000272;1.538812185;81.45519834;0.54;0
95;-1.238144444;116.8528306;Balikpapan;13/03/2021;1.49;4.94;4.50;4.73;0.05;0.16;27.83;78.09418169;0.47;44.1321483;0.19;0
